Supermodule_ID,PMT_ID,Sum_of_8_ID
001,00101,a1
001,00102,a1
001,00103,a2
001,00104,a1
001,00105,a1
001,00106,a2
001,00107,a1
001,00108,a1
001,00109,a2
002,00201,a2
002,00202,a3
002,00203,a3
002,00204,a2
002,00205,a3
002,00206,a3
002,00207,a2
002,00208,a3
002,00209,a3
003,00301,a4
003,00302,a4
003,00303,a5
003,00304,a4
003,00305,a4
003,00306,a5
003,00307,a4
003,00308,a4
003,00309,a5
004,00401,a5
004,00402,a6
004,00403,a6
004,00404,a5
004,00405,a6
004,00406,a6
004,00407,a5
004,00408,a6
004,00409,a6
005,00501,a1
005,00502,a1
005,00503,a2
005,00504,b1
005,00505,b1
005,00506,b2
005,00507,b1
005,00508,b1
005,00509,b2
006,00601,a2
006,00602,a3
006,00603,a3
006,00604,b2
006,00605,b3
006,00606,b3
006,00607,b2
006,00608,b3
006,00609,b3
007,00701,a4
007,00702,a4
007,00703,a5
007,00704,b4
007,00705,b4
007,00706,b5
007,00707,b4
007,00708,b4
007,00709,b5
008,00801,a5
008,00802,a6
008,00803,a6
008,00804,b5
008,00805,b6
008,00806,b6
008,00807,b5
008,00808,b6
008,00809,b6
009,00901,a7
009,00902,a7
009,00903,a8
009,00904,b7
009,00905,b7
009,00906,b8
009,00907,b7
009,00908,b7
009,00909,b8
010,01001,a8
010,01002,a9
010,01003,a9
010,01004,b8
010,01005,b9
010,01006,b9
010,01007,b8
010,01008,b9
010,01009,b9
011,01101,b1
011,01102,b1
011,01103,b2
011,01104,b1
011,01105,b1
011,01106,b2
011,01107,c1
011,01108,c1
011,01109,c2
012,01201,b2
012,01202,b3
012,01203,b3
012,01204,b2
012,01205,b3
012,01206,b3
012,01207,c2
012,01208,c3
012,01209,c3
013,01301,b4
013,01302,b4
013,01303,b5
013,01304,b4
013,01305,b4
013,01306,b5
013,01307,c4
013,01308,c4
013,01309,c5
014,01401,b5
014,01402,b6
014,01403,b6
014,01404,b5
014,01405,b6
014,01406,b6
014,01407,c5
014,01408,c6
014,01409,c6
015,01501,b7
015,01502,b7
015,01503,b8
015,01504,b7
015,01505,b7
015,01506,b8
015,01507,c7
015,01508,c7
015,01509,c8
016,01601,b8
016,01602,b9
016,01603,b9
016,01604,b8
016,01605,b9
016,01606,b9
016,01607,c8
016,01608,c9
016,01609,c9
017,01701,b10
017,01702,b10
017,01703,b11
017,01704,b10
017,01705,b10
017,01706,b11
017,01707,c10
017,01708,c10
017,01709,c11
018,01801,c1
018,01802,c1
018,01803,c2
018,01804,c1
018,01805,c1
018,01806,c2
018,01807,c1
018,01808,c1
018,01809,c2
019,01901,c2
019,01902,c3
019,01903,c3
019,01904,c2
019,01905,c3
019,01906,c3
019,01907,c2
019,01908,c3
019,01909,c3
020,02001,c4
020,02002,c4
020,02003,c5
020,02004,c4
020,02005,c4
020,02006,c5
020,02007,c4
020,02008,c4
020,02009,c5
021,02101,c5
021,02102,c6
021,02103,c6
021,02104,c5
021,02105,c6
021,02106,c6
021,02107,c5
021,02108,c6
021,02109,c6
022,02201,c7
022,02202,c7
022,02203,c8
022,02204,c7
022,02205,c7
022,02206,c8
022,02207,c7
022,02208,c7
022,02209,c8
023,02301,c8
023,02302,c9
023,02303,c9
023,02304,c8
023,02305,c9
023,02306,c9
023,02307,c8
023,02308,c9
023,02309,c9
024,02401,c10
024,02402,c10
024,02403,c11
024,02404,c10
024,02405,c10
024,02406,c11
024,02407,c10
024,02408,c10
024,02409,c11
025,02501,d1
025,02502,d1
025,02503,d2
025,02504,d1
025,02505,d1
025,02506,d2
025,02507,d1
025,02508,d1
025,02509,d2
026,02601,d2
026,02602,d3
026,02603,d3
026,02604,d2
026,02605,d3
026,02606,d3
026,02607,d2
026,02608,d3
026,02609,d3
027,02701,d4
027,02702,d4
027,02703,d5
027,02704,d4
027,02705,d4
027,02706,d5
027,02707,d4
027,02708,d4
027,02709,d5
028,02801,d5
028,02802,d6
028,02803,d6
028,02804,d5
028,02805,d6
028,02806,d6
028,02807,d5
028,02808,d6
028,02809,d6
029,02901,d7
029,02902,d7
029,02903,d8
029,02904,d7
029,02905,d7
029,02906,d8
029,02907,d7
029,02908,d7
029,02909,d8
030,03001,d8
030,03002,d9
030,03003,d9
030,03004,d8
030,03005,d9
030,03006,d9
030,03007,d8
030,03008,d9
030,03009,d9
031,03101,d10
031,03102,d10
031,03103,d11
031,03104,d10
031,03105,d10
031,03106,d11
031,03107,d10
031,03108,d10
031,03109,d11
032,03201,d11
032,03202,d12
032,03203,d12
032,03204,d11
032,03205,d12
032,03206,d12
032,03207,d11
032,03208,d12
032,03209,d12
033,03301,d2
033,03302,d2
033,03303,d3
033,03304,e2
033,03305,e2
033,03306,e3
033,03307,e2
033,03308,e2
033,03309,e3
034,03401,d3
034,03402,d4
034,03403,d4
034,03404,e3
034,03405,e4
034,03406,e4
034,03407,e3
034,03408,e4
034,03409,e4
035,03501,d5
035,03502,d5
035,03503,d6
035,03504,e5
035,03505,e5
035,03506,e6
035,03507,e5
035,03508,e5
035,03509,e6
036,03601,d6
036,03602,d7
036,03603,d7
036,03604,e6
036,03605,e7
036,03606,e7
036,03607,e6
036,03608,e7
036,03609,e7
037,03701,d8
037,03702,d8
037,03703,d9
037,03704,e8
037,03705,e8
037,03706,e9
037,03707,e8
037,03708,e8
037,03709,e9
038,03801,d9
038,03802,d10
038,03803,d10
038,03804,e9
038,03805,e10
038,03806,e10
038,03807,e9
038,03808,e10
038,03809,e10
039,03901,d11
039,03902,d11
039,03903,d12
039,03904,e11
039,03905,e11
039,03906,e12
039,03907,e11
039,03908,e11
039,03909,e12
040,04001,d12
040,04002,d13
040,04003,d13
040,04004,e12
040,04005,e13
040,04006,e13
040,04007,e12
040,04008,e13
040,04009,e13
041,04101,e2
041,04102,e2
041,04103,e3
041,04104,e2
041,04105,e2
041,04106,e3
041,04107,f2
041,04108,f2
041,04109,f3
042,04201,e3
042,04202,e4
042,04203,e4
042,04204,e3
042,04205,e4
042,04206,e4
042,04207,f3
042,04208,f4
042,04209,f4
043,04301,e5
043,04302,e5
043,04303,e6
043,04304,e5
043,04305,e5
043,04306,e6
043,04307,f5
043,04308,f5
043,04309,f6
044,04401,e6
044,04402,e7
044,04403,e7
044,04404,e6
044,04405,e7
044,04406,e7
044,04407,f6
044,04408,f7
044,04409,f7
045,04501,e8
045,04502,e8
045,04503,e9
045,04504,e8
045,04505,e8
045,04506,e9
045,04507,f8
045,04508,f8
045,04509,f9
046,04601,e9
046,04602,e10
046,04603,e10
046,04604,e9
046,04605,e10
046,04606,e10
046,04607,f9
046,04608,f10
046,04609,f10
047,04701,e11
047,04702,e11
047,04703,e12
047,04704,e11
047,04705,e11
047,04706,e12
047,04707,f11
047,04708,f11
047,04709,f12
048,04801,e12
048,04802,e13
048,04803,e13
048,04804,e12
048,04805,e13
048,04806,e13
048,04807,f12
048,04808,f13
048,04809,f13
049,04901,e14
049,04902,e14
049,04903,e15
049,04904,e14
049,04905,e14
049,04906,e15
049,04907,f14
049,04908,f14
049,04909,f15
050,05001,f2
050,05002,f2
050,05003,f3
050,05004,f2
050,05005,f2
050,05006,f3
050,05007,f2
050,05008,f2
050,05009,f3
051,05101,f3
051,05102,f4
051,05103,f4
051,05104,f3
051,05105,f4
051,05106,f4
051,05107,f3
051,05108,f4
051,05109,f4
052,05201,f5
052,05202,f5
052,05203,f6
052,05204,f5
052,05205,f5
052,05206,f6
052,05207,f5
052,05208,f5
052,05209,f6
053,05301,f6
053,05302,f7
053,05303,f7
053,05304,f6
053,05305,f7
053,05306,f7
053,05307,f6
053,05308,f7
053,05309,f7
054,05401,f8
054,05402,f8
054,05403,f9
054,05404,f8
054,05405,f8
054,05406,f9
054,05407,f8
054,05408,f8
054,05409,f9
055,05501,f9
055,05502,f10
055,05503,f10
055,05504,f9
055,05505,f10
055,05506,f10
055,05507,f9
055,05508,f10
055,05509,f10
056,05601,f11
056,05602,f11
056,05603,f12
056,05604,f11
056,05605,f11
056,05606,f12
056,05607,f11
056,05608,f11
056,05609,f12
057,05701,f12
057,05702,f13
057,05703,f13
057,05704,f12
057,05705,f13
057,05706,f13
057,05707,f12
057,05708,f13
057,05709,f13
058,05801,f14
058,05802,f14
058,05803,f15
058,05804,f14
058,05805,f14
058,05806,f15
058,05807,f14
058,05808,f14
058,05809,f15
059,05901,g2
059,05902,g2
059,05903,g3
059,05904,g2
059,05905,g2
059,05906,g3
059,05907,g2
059,05908,g2
059,05909,g3
060,06001,g3
060,06002,g4
060,06003,g4
060,06004,g3
060,06005,g4
060,06006,g4
060,06007,g3
060,06008,g4
060,06009,g4
061,06101,g5
061,06102,g5
061,06103,g6
061,06104,g5
061,06105,g5
061,06106,g6
061,06107,g5
061,06108,g5
061,06109,g6
062,06201,g6
062,06202,g7
062,06203,g7
062,06204,g6
062,06205,g7
062,06206,g7
062,06207,g6
062,06208,g7
062,06209,g7
063,06301,g8
063,06302,g8
063,06303,g9
063,06304,g8
063,06305,g8
063,06306,g9
063,06307,g8
063,06308,g8
063,06309,g9
064,06401,g9
064,06402,g10
064,06403,g10
064,06404,g9
064,06405,g10
064,06406,g10
064,06407,g9
064,06408,g10
