lrow,lcol,hrow,hcol,Sums32_ID
a,01,b,02,T1
c,01,d,02,T2
o,01,p,02,T8
q,01,r,02,T9
a,03,b,04,U1
c,03,d,04,U2
e,03,f,04,U3
g,03,h,04,U4
i,03,j,04,U5
k,03,l,04,U6
m,03,n,04,U7
o,03,p,04,U8
q,0e,r,04,U9
a,05,b,06,V1
c,05,d,06,V2
e,05,f,06,V3
g,05,h,06,V4
i,05,j,06,V5
k,05,l,06,V6
m,05,n,06,V7
o,05,p,06,V8
q,05,r,06,V9
a,07,b,08,W1
c,07,d,08,W2
e,07,f,08,W3
g,07,h,08,W4
i,07,j,08,W5
k,07,l,08,W6
m,07,n,08,W7
o,07,p,08,W8
q,07,r,08,W9
c,09,d,10,X2
e,09,f,10,X3
g,09,h,10,X4
i,09,j,10,X5
k,09,l,10,X6
m,09,n,10,X7
o,09,p,10,X8
e,11,f,12,Y3
g,11,h,12,Y4
i,11,j,12,Y5
k,11,l,12,Y6
m,11,n,12,Y7
e,13,f,14,Z3
g,13,h,14,Z4
i,13,j,14,Z5
k,13,l,14,Z6
m,13,n,14,Z7
a,02,b,03,T10
c,02,d,03,T11
e,02,f,03,T12
g,02,h,03,T13
i,02,j,03,T14
k,02,l,03,T15
m,02,n,03,T16
o,02,p,03,T17
q,02,r,03,T18
a,04,b,05,U10
c,04,d,05,U11
e,04,f,05,U12
g,04,h,05,U13
i,04,j,05,U14
k,04,l,05,U15
m,04,n,05,U16
o,04,p,05,U17
q,04,r,05,U18
a,06,b,07,V10
c,06,d,07,V11
e,06,f,07,V12
g,06,h,07,V13
i,06,j,07,V14
k,06,l,07,V15
m,06,n,07,V16
o,06,p,07,V17
q,06,r,07,V18
a,08,b,09,W10
c,08,d,09,W11
e,08,f,09,W12
g,08,h,09,W13
i,08,j,09,W14
k,08,l,09,W15
m,08,n,09,W16
o,08,p,09,W17
q,08,r,09,W18
c,10,d,11,X11
e,10,f,11,X12
g,10,h,11,X13
i,10,j,11,X14
k,10,l,11,X15
m,10,n,11,X16
o,10,p,11,X17
e,12,f,13,Y12
g,12,h,13,Y13
i,12,j,13,Y14
k,12,l,13,Y15
m,12,n,13,Y15
e,14,f,15,Z12
g,14,h,15,Z13
i,14,j,15,Z14
k,14,l,15,Z15
m,14,n,15,Z16
b,01,c,02,T19
p,01,q,02,T26
b,03,c,04,U19
d,03,e,04,U20
f,03,g,04,U21
h,03,i,04,U22
j,03,k,04,U23
l,03,m,04,U24
n,03,o,04,U25
p,03,q,04,U26
b,05,c,06,V19
d,05,e,06,V20
f,05,g,06,V21
h,05,i,06,V22
j,05,k,06,V23
l,05,m,06,V24
n,05,o,06,V25
p,05,q,06,V26
b,07,c,08,W19
d,07,e,08,W20
f,07,g,08,W21
h,07,i,08,W22
j,07,k,08,W23
l,07,m,08,W24
n,07,o,08,W25
p,07,q,08,W26
b,09,c,10,X19
d,09,e,10,X20
f,09,g,10,X21
h,09,i,10,X22
j,09,k,10,X23
l,09,m,10,X24
n,09,o,10,X25
p,09,q,10,X26
d,11,e,12,Y20
f,11,g,12,Y21
h,11,i,12,Y22
j,11,k,12,Y23
l,11,m,12,Y24
n,11,o,12,Y25
f,13,g,14,Z21
h,13,i,14,Z22
j,13,k,14,Z23
l,13,m,14,Z24
b,02,c,03,T27
d,02,e,03,T28
f,02,g,03,T29
h,02,i,03,T30
j,02,k,03,T31
l,02,m,03,T32
n,02,o,03,T33
p,02,q,03,T34
b,04,c,05,U27
d,04,e,05,U28
f,04,g,05,U29
h,04,i,05,U30
j,04,k,05,U31
l,04,m,05,U32
n,04,o,05,U33
p,04,q,05,U34
b,06,c,07,V27
d,06,e,07,V28
f,06,g,07,V29
h,06,i,07,V30
j,06,k,07,V31
l,06,m,07,V32
n,06,o,07,V33
p,06,q,07,V34
b,08,c,09,W27
d,08,e,09,W28
f,08,g,09,W29
h,08,i,09,W30
j,08,k,09,W31
l,08,m,09,W32
n,08,o,09,W33
p,08,q,09,W34
b,10,c,11,X27
d,10,e,11,X28
f,10,g,11,X29
h,10,i,11,X30
j,10,k,11,X31
l,10,m,11,X32
n,10,o,11,X33
p,10,q,11,X34
d,12,e,13,Y28
f,12,g,13,Y29
h,12,i,13,Y30
j,12,k,13,Y31
l,12,m,13,Y32
n,12,o,13,Y33
f,14,g,15,Z29
h,14,i,15,Z30
j,14,k,15,Z31
l,14,m,15,Z32
