001_1, a1, [' T1'], [' a1:b2']
001_2, a1, [' T1'], [' a1:b2']
001_3, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
001_4, a1, [' T1'], [' a1:b2']
001_5, a1, [' T1'], [' a1:b2']
001_6, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
001_7, a1, [' T1'], [' a1:b2']
001_8, a1, [' T1'], [' a1:b2']
001_9, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
002_1, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
002_2, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
002_3, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
002_4, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
002_5, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
002_6, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
002_7, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
002_8, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
002_9, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
003_1, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_2, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_3, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
003_4, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_5, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_6, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
003_7, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_8, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
003_9, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
004_1, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
004_2, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
004_3, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
004_4, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
004_5, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
004_6, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
004_7, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
004_8, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
004_9, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
005_1, a1, [' T1'], [' a1:b2']
005_2, a1, [' T1'], [' a1:b2']
005_3, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
005_4, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
005_5, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
005_6, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
005_7, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
005_8, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
005_9, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
006_1, a2, [' T1', ' T10'], [' a1:b2', ' a2:b3']
006_2, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
006_3, a3, [' T10', ' U1'], [' a2:b3', ' a3:b4']
006_4, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
006_5, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
006_6, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
006_7, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
006_8, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
006_9, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
007_1, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
007_2, a4, [' U1', ' U10'], [' a3:b4', ' a4:b5']
007_3, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
007_4, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
007_5, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
007_6, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
007_7, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
007_8, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
007_9, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
008_1, a5, [' U10', ' V1'], [' a4:b5', ' a5:b6']
008_2, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
008_3, a6, [' V1', ' V10'], [' a5:b6', ' a6:b7']
008_4, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
008_5, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
008_6, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
